id,title,image-url,categories,tags
de2R1,Har du en venn som avbryter eller avslutter dine setninger?,https://ap.mnocdn.no/images/b71e56cf-7574-4821-840b-b26b10000a9e?fit=crop&q=80&w=480,[norge],[jul]
de37j,Står vi foran et sammenbrudd av verdensorden? | Henrik Thune,https://ap.mnocdn.no/images/626bfed3-f076-4242-83e0-1df9cc8166de?fit=crop&q=80&w=480,[kultur],"[internasjonal politikk, nasjonalisme, globalisering, donald trump, terrorisme]"
de3gz,Hver tiende nordmann får legebehandling for skade hvert år,https://ap.mnocdn.no/images/5094cfe2-e921-428d-9b5f-111841f2a9e3?fit=crop&q=80&w=480,[norge],"[folkehelseinstituttet, ungdom, helsetjenesten, trafikkulykker, ulykker, barn og unge, sykehus]"
de3v1,Hva skjer med staten når den løsrives fra kirken? | Marius Timmann Mjaaland,https://ap.mnocdn.no/images/64843b74-8061-4e45-bb8c-ec0d8b5323d0?fit=crop&q=80&w=480,"[kronikk, meninger]","[statskirkens siste jul, teologi, den norske kirke]"
de851,Støttet Marine Le Pen i Klassekampen – fikk sparken som spaltist,https://ap.mnocdn.no/images/80850f0c-85f2-4b3b-8f04-1043c97f51ef?fit=crop&q=80&w=480,[kultur],"[marine le pen, medier, klassekampen]"
de8lo,Det finnes et før og etter flyktningkrisen i den svenske offentligheten: De borgerlige avisene har beveget seg mot høyre | Mattias Hagberg,https://ap.mnocdn.no/images/1721ff26-5cc1-461e-9f71-c0a28c8e92ba?fit=crop&q=80&w=480,"[kronikk, meninger]","[høyrepopulisme, sverige, innvandring, politikk]"
de9Ww,Norge gir 100 millioner til Boko Haram-ofre,https://ap.mnocdn.no/images/6a6e417b-4c22-4025-b793-8e2e5bedda69?fit=crop&q=80&w=480,[verden],"[nigeria, børge brende, boko haram]"
de9dO,– 90 prosent av vestlige jenter og kvinner ønsker å endre på kroppen. Vi er vitne til kulturell ødeleggelse.,https://ap.mnocdn.no/images/b9071865-5be2-4d03-9512-b05b6dd8fd29?fit=crop&q=80&w=480,[kultur],"[kroppspress, spiseforstyrrelser, schizofrenidagene, psykologi, finn skårderud, psykisk helse, kropp, botox, mat og næringsmidler, svangerskap]"
deB3B,Kaceys lekne countryjul,https://ap.mnocdn.no/images/23226f6e-1cf2-4460-a5b5-5c769b7f11d3?fit=crop&q=80&w=480,[kultur],"[musikk, musikkanmeldelse, jul]"
deBdJ,Over 4000 barn sendte inn tegninger. Tirsdag kåret Ylvis og Mette-Marit vinneren.,http://ap.mnocdn.no/images/45db91d9-6156-40dd-9203-187a77821c7c?fit=crop&q=80&w=480,[kultur],"[barn, kronprinsesse mette-marit]"
deByX,Helhetlig innsats for utsatte barn må settes inn tidlig,https://ap.mnocdn.no/images/d7835455-1673-4f80-9195-d8703666c62a?fit=crop&q=80&w=480,"[kronikk, meninger]","[barnehage, overgrep, barn, barnevern, barnemishandling]"
deEQX,Gjermund Cappelen hevder fem dødsfall var drap,https://ap.mnocdn.no/images/776b1efa-c9c2-4d91-8a5a-5b3193c4a62c?fit=crop&q=80&w=480,[norge],[]
deG8B,PechaKucha: Hvorfor har vi hender?,https://ap.mnocdn.no/images/96d25687-995b-4336-927f-a0456f74d173?fit=crop&q=80&w=480,[norge],[]
deGLo,"Putin vender blikket hjem: - Vi har mange, mange problemer",https://ap.mnocdn.no/images/7b40dd3a-8712-4ba9-85de-1bcb53d62edd?fit=crop&q=80&w=480,[verden],"[russland, økonomi, vladimir putin]"
deGRw,«Katastrofal vannmangel» for 500.000 innbyggere i Mosul,http://ap.mnocdn.no/images/df064cb6-0063-41de-957e-e778ceb1d687?fit=crop&q=80&w=480,[verden],[]
deGzO,Kunst i uroens tid - og seks ting du bør vite om abstrakt ekspresjonisme | Øystein Ustvedt,http://ap.mnocdn.no/images/9634e673-783b-4a5a-92bc-a2aee4626243?fit=crop&q=80&w=480,"[meninger, debatt]","[kunstverket, kunst]"
deKMB,Mann pågrepet i væpnet aksjon i Arendal,,[norge],[]
dePdO,"Takk, Skam, for at dere viser at det ikke trenger være så ille å være bipolar - som meg | Cathrine Smith",http://ap.mnocdn.no/images/b5875f93-c113-4886-a509-4484fb58c566?fit=crop&q=80&w=480,"[meninger, debatt]",[skam]
dePkj,Krig og militær strukturutvikling er for viktig til å overlates til insiderne alene | Harald Høiback,https://ap.mnocdn.no/images/3e78ad51-ea73-4f90-824f-99a12c28e424?fit=crop&q=80&w=480,"[meninger, debatt]","[fly, forsvarets høgskole (fhs), krig, forsvaret]"
dePlO,Knivstukket kvinne og mann utenfor livsfare,https://ap.mnocdn.no/images/74e0226d-9e17-48d5-8c2a-8c01bd0ba54c?fit=crop&q=80&w=480,[norge],[]
dePlq,«Hacksaw Ridge»: En studie i vold og enfold,http://ap.mnocdn.no/images/11160fe4-9c02-4dfc-978e-e733270468cf?fit=crop&q=80&w=480,[kultur],"[film, mel gibson, filmanmeldelse]"
dePnB,Nesten dobling av kontantstøtten med borgerlig styre,http://ap.mnocdn.no/images/76063943-1c3a-4937-9491-95d0567dd047?fit=crop&q=80&w=480,"[norge, politikk]","[statsbudsjettet, hans olav syversen, marianne marthinsen, trine skei grande, barn, familiepolitikk, politikk]"
dePro,IKT-Norge ber Regjeringen lage DAB-app for å sjekke dekningen,https://ap.mnocdn.no/images/53da35cc-82e8-4ece-80f9-b7c180fcd506?fit=crop&q=80&w=480,[kultur],[]
deQAo,Statoil har et genuint ønske om dialog | Bjørn Otto Sverdrup,http://ap.mnocdn.no/images/4f641680-ddbf-431c-aa24-35bc78ce976a?fit=crop&q=80&w=480,"[meninger, debatt]","[energi, statoil]"
deQBX,Jente alvorlig skadet etter knivstikking på skole - gutt (17) siktet for drapsforsøk.,http://ap.mnocdn.no/images/c1ea2cc1-9d6c-4c4d-8dde-7e0771c88c55?fit=crop&q=80&w=480,[norge],"[agder, bygland]"
deQqJ,Telenor inngikk feilaktige leiekontrakter i Thailand,http://ap.mnocdn.no/images/faa91a9a-9510-402b-ba4e-042243069be6?fit=crop&q=80&w=480,[okonomi],"[telenor, sigve brekke, økonomi]"
deW8q,Historien om den mistenkte Anis Amri opprører tyskere: – Rystende hvordan sikkerhetstjenestene har arbeidet,https://ap.mnocdn.no/images/8fc8a775-018b-4e5b-9f5f-ec498c34956b?fit=crop&q=80&w=480,[verden],"[tyskland, politiet, terrorisme, berlin, terror]"
deWEw,Harald Stanghelle: Det første «den hellige familien» gjorde var å flykte. 2016 år senere er det Midtøstens kristne som forsvinner.,https://ap.mnocdn.no/images/e8bf571b-e4d9-4806-8eac-0dc32c4e1dbc?fit=crop&q=80&w=480,"[meninger, kommentar]","[historie, religion, midtøsten, muslimer]"
deWOB,Mann pågrepet etter skyting i Vestby,https://ap.mnocdn.no/images/0e3b428e-92fc-4cf8-841e-d3b1e5e066d0?fit=crop&q=80&w=480,[norge],[]
deWX1,Listeria funnet i røykelaks og gravlaks,https://ap.mnocdn.no/images/e1d68788-dfbb-4dbd-b1ab-53697a3bee4b?fit=crop&q=80&w=480,[okonomi],[mat og næringsmidler]
deaQj,Statistisk sentralbyrå vil lage innvandrerstatistikk,http://ap.mnocdn.no/images/31a56f78-36f5-4460-886f-e107d59ed65b?fit=crop&q=80&w=480,[norge],[]
deabX,Oppvekstdirektør etter dobbeldrapet: – Barn ned i 11-12-årsalderen er med i kriminelle miljøer,http://ap.mnocdn.no/images/86f7ae1c-0b79-4274-a4d3-3cbf5bc790c8?fit=crop&q=80&w=480,[norge],[]
dealo,Mediefremtiden er næring og konkurranse | Kjartan Rødland,http://ap.mnocdn.no/images/59d0612d-cb1c-41dc-bccd-b2c50adf4f6e?fit=crop&q=80&w=480,"[meninger, debatt]",[mediepolitikk]
deavA,Saftig smak av jul,https://ap.mnocdn.no/images/c2f3da61-f63f-4c72-9868-4bdc2b61cc92?fit=crop&q=80&w=480,[amagasinet],"[mat og næringsmidler, jul]"
debGO,Under streken,http://ap.mnocdn.no/images/47342180-93ac-4075-b066-20d4c75c0b3b?fit=crop&q=80&w=480,[norge],[underholdning]
debMO,Nekrolog: Ragnvald Kalleberg,,[personalia],[nekrolog]
deboq,Trump hopper ikke etter Wirkola | Frank Rossavik,https://ap.mnocdn.no/images/733a328a-e9e7-4104-a052-7f043688a5ad?fit=crop&q=80&w=480,"[meninger, kommentar]","[utenrikspolitikk, russland, donald trump, barack obama, midtøsten, usa]"
debrq,Fredsprisen er blitt «ungdomsprisen» blant nobelprisene,http://ap.mnocdn.no/images/4e1d299d-d6e9-4afe-be05-6c1d6a414017?fit=crop&q=80&w=480,[verden],"[litteratur, malala yousafzai, colombia, aftenposten, medisin, økonomi, fysikk]"
dep9w,Oslo-politiet bekymret over grovere ungdomskriminalitet,http://ap.mnocdn.no/images/2a8fff71-c139-40ac-9675-1fdcb73f66b6?fit=crop&q=80&w=480,[osloby],[]
depK1,Kongsberg Digital gjør millioninvestering for å revolusjonere kraftmarkedet,http://ap.mnocdn.no/images/acafeda2-8dbd-40a4-8750-2c9942c35a21?fit=crop&q=80&w=480,[okonomi],"[halden, kongsberg gruppen, energi, teknologi, økonomi, digital]"
depdX,«Evolution»: Opprør mot matriarkatet,http://ap.mnocdn.no/images/f28e60af-388d-4f15-8195-92679ce33086?fit=crop&q=80&w=480,[kultur],"[film, filmanmeldelse]"
